,id,status
0,DCP-ZDR-2023-00001,Completed
1,DCP-ZDR-2023-00028,Application Incomplete
2,DCP-ZDR-2023-00034,Completed
3,DCP-ZDR-2023-00046,Completed
4,DCP-ZDR-2023-00051,Applicant Revisions
5,DCP-ZDR-2023-00054,Completed
6,DCP-ZDR-2023-00071,Cancelled
7,DCP-ZDR-2023-00074,Cancelled
8,DCP-ZDR-2023-00076,Withdrawn
9,DCP-ZDR-2023-00087,Completed
10,DCP-ZDR-2023-00089,Completed
11,DCP-ZDR-2023-00094,Completed
12,DCP-ZDR-2023-00098,Completed
13,DCP-ZDR-2023-00102,Completed
14,DCP-ZDR-2023-00110,Completed
15,DCP-ZDR-2023-00115,Application Incomplete
16,DCP-ZDR-2023-00122,Applicant Revisions
17,DCP-ZDR-2023-00124,Completed
18,DCP-ZDR-2023-00129,Applicant Revisions
19,DCP-ZDR-2023-00134,Applicant Revisions
20,DCP-ZDR-2023-00137,Completed
21,DCP-ZDR-2023-00145,Completed
22,DCP-ZDR-2023-00151,Cancelled
23,DCP-ZDR-2023-00155,Application Incomplete
24,DCP-ZDR-2023-00158,Applicant Revisions
25,DCP-ZDR-2023-00164,Completed
26,DCP-ZDR-2023-00173,Applicant Revisions
27,DCP-ZDR-2023-00189,Completed
28,DCP-ZDR-2023-00200,Completed
29,DCP-ZDR-2023-00205,Completed
30,DCP-ZDR-2023-00208,Completed
31,DCP-ZDR-2023-00214,Completed
32,DCP-ZDR-2023-00220,Completed
33,DCP-ZDR-2023-00222,Completed
34,DCP-ZDR-2023-00229,Applicant Revisions
35,DCP-ZDR-2023-00241,Completed
36,DCP-ZDR-2023-00244,In Review
37,DCP-ZDR-2023-00247,Completed
38,DCP-ZDR-2023-00268,Completed
39,DCP-ZDR-2023-00279,Completed
40,DCP-ZDR-2023-00286,Completed
41,DCP-ZDR-2023-00288,Completed
42,DCP-ZDR-2023-00312,Completed
43,DCP-ZDR-2023-00316,Completed
44,DCP-ZDR-2023-00324,Completed
45,DCP-ZDR-2023-00326,Applicant Revisions
46,DCP-ZDR-2023-00335,Completed
47,DCP-ZDR-2023-00344,Completed
48,DCP-ZDR-2023-00347,Completed
49,DCP-ZDR-2023-00349,Completed
50,DCP-ZDR-2023-00353,Applicant Revisions
51,DCP-ZDR-2023-00357,Completed
52,DCP-ZDR-2023-00359,Completed
53,DCP-ZDR-2023-00379,Completed
54,DCP-ZDR-2023-00400,Completed
55,DCP-ZDR-2023-00420,Application Incomplete
56,DCP-ZDR-2023-00435,Completed
57,DCP-ZDR-2023-00438,Completed
58,DCP-ZDR-2023-00440,Completed
59,DCP-ZDR-2023-00445,Cancelled
60,DCP-ZDR-2023-00456,Completed
61,DCP-ZDR-2023-00460,Completed
62,DCP-ZDR-2023-00467,Completed
63,DCP-ZDR-2023-00472,Completed
64,DCP-ZDR-2023-00489,Completed
65,DCP-ZDR-2023-00497,Applicant Revisions
66,DCP-ZDR-2023-00508,Applicant Revisions
67,DCP-ZDR-2023-00518,Completed
68,DCP-ZDR-2023-00526,Completed
69,DCP-ZDR-2023-00529,Completed
70,DCP-ZDR-2023-00539,Completed
71,DCP-ZDR-2023-00546,Completed
72,DCP-ZDR-2023-00588,Completed
73,DCP-ZDR-2023-00603,Applicant Revisions
74,DCP-ZDR-2023-00606,Applicant Revisions
75,DCP-ZDR-2023-00609,Completed
76,DCP-ZDR-2023-00617,Completed
77,DCP-ZDR-2023-00621,Completed
78,DCP-ZDR-2023-00630,Completed
79,DCP-ZDR-2023-00642,Completed
80,DCP-ZDR-2023-00650,Completed
81,DCP-ZDR-2023-00659,Completed
82,DCP-ZDR-2023-00673,Completed
83,DCP-ZDR-2023-00688,Completed
84,DCP-ZDR-2023-00690,Completed
85,DCP-ZDR-2023-00698,Completed
86,DCP-ZDR-2023-00701,Completed
87,DCP-ZDR-2023-00724,Completed
88,DCP-ZDR-2023-00728,In Review
89,DCP-ZDR-2023-00730,Applicant Revisions
90,DCP-ZDR-2023-00739,Completed
91,DCP-ZDR-2023-00750,Withdrawn
92,DCP-ZDR-2023-00754,Completed
93,DCP-ZDR-2023-00759,Completed
94,DCP-ZDR-2023-00767,Completed
95,DCP-ZDR-2023-00777,Cancelled
96,DCP-ZDR-2023-00788,Completed
97,DCP-ZDR-2023-00796,Completed
98,DCP-ZDR-2023-00800,Completed
99,DCP-ZDR-2023-00804,Completed
100,DCP-ZDR-2023-00818,Completed
101,DCP-ZDR-2023-00820,In Review
102,DCP-ZDR-2023-00840,Withdrawn
103,DCP-ZDR-2023-00848,Completed
104,DCP-ZDR-2023-00855,Completed
105,DCP-ZDR-2023-00857,Completed
106,DCP-ZDR-2023-00866,Completed
107,DCP-ZDR-2023-00872,Completed
108,DCP-ZDR-2023-00876,Completed
109,DCP-ZDR-2023-00887,Completed
110,DCP-ZDR-2023-00901,Completed
111,DCP-ZDR-2023-00907,Completed
112,DCP-ZDR-2023-00909,Completed
113,DCP-ZDR-2023-00913,Completed
114,DCP-ZDR-2023-00922,Applicant Revisions
115,DCP-ZDR-2023-00930,Completed
116,DCP-ZDR-2023-00933,Completed
117,DCP-ZDR-2023-00936,Application Incomplete
118,DCP-ZDR-2023-00944,Completed
119,DCP-ZDR-2023-00947,Completed
120,DCP-ZDR-2023-00951,Completed
121,DCP-ZDR-2023-00955,Completed
122,DCP-ZDR-2023-00957,Completed
123,DCP-ZDR-2023-00961,In Review
124,DCP-ZDR-2023-00963,Completed
125,DCP-ZDR-2023-00969,In Review
126,DCP-ZDR-2023-00987,Completed
127,DCP-ZDR-2023-00996,Completed
128,DCP-ZDR-2023-01001,Completed
129,DCP-ZDR-2023-01005,In Review
130,DCP-ZDR-2023-01007,Applicant Revisions
131,DCP-ZDR-2023-01019,Cancelled
132,DCP-ZDR-2023-01033,Completed
133,DCP-ZDR-2023-01036,Completed
134,DCP-ZDR-2023-01046,Cancelled
135,DCP-ZDR-2023-01049,Completed
136,DCP-ZDR-2023-01057,Completed
137,DCP-ZDR-2023-01060,Completed
138,DCP-ZDR-2023-01083,Completed
139,DCP-ZDR-2023-01088,Completed
140,DCP-ZDR-2023-01094,In Review
141,DCP-ZDR-2023-01105,Completed
142,DCP-ZDR-2023-01114,In Review
143,DCP-ZDR-2023-01118,Completed
144,DCP-ZDR-2023-01122,Completed
145,DCP-ZDR-2023-01135,Completed
146,DCP-ZDR-2023-01152,Completed
147,DCP-ZDR-2023-01169,Completed
148,DCP-ZDR-2023-01185,In Review
149,DCP-ZDR-2023-01188,Completed
150,DCP-ZDR-2023-01190,Applicant Revisions
151,DCP-ZDR-2023-01192,Completed
152,DCP-ZDR-2023-01198,In Review
153,DCP-ZDR-2023-01222,Completed
154,DCP-ZDR-2023-01226,Completed
155,DCP-ZDR-2023-01235,Completed
156,DCP-ZDR-2023-01241,Completed
157,DCP-ZDR-2023-01247,Cancelled
158,DCP-ZDR-2023-01254,Completed
159,DCP-ZDR-2023-01258,Completed
160,DCP-ZDR-2023-01286,Completed
161,DCP-ZDR-2023-01293,Applicant Revisions
162,DCP-ZDR-2023-01295,Completed
163,DCP-ZDR-2023-01298,Completed
164,DCP-ZDR-2023-01304,Completed
165,DCP-ZDR-2023-01319,Withdrawn
166,DCP-ZDR-2023-01326,Completed
167,DCP-ZDR-2023-01332,Completed
168,DCP-ZDR-2023-01347,Withdrawn
169,DCP-ZDR-2023-01352,Application Incomplete
170,DCP-ZDR-2023-01357,Applicant Revisions
171,DCP-ZDR-2023-01359,Applicant Revisions
172,DCP-ZDR-2023-01363,Application Incomplete
173,DCP-ZDR-2023-01383,Application Incomplete
174,DCP-ZDR-2023-01386,Applicant Revisions
175,DCP-ZDR-2023-01391,Completed
176,DCP-ZDR-2023-01396,Completed
177,DCP-ZDR-2023-01399,Completed
178,DCP-ZDR-2023-01401,Completed
179,DCP-ZDR-2023-01404,Completed
180,DCP-ZDR-2023-01417,Completed
181,DCP-ZDR-2023-01423,Application Incomplete
182,DCP-ZDR-2023-01436,Applicant Revisions
183,DCP-ZDR-2023-01442,Cancelled
184,DCP-ZDR-2023-01453,Completed
185,DCP-ZDR-2023-01462,Applicant Revisions
186,DCP-ZDR-2023-01472,Completed
187,DCP-ZDR-2023-01484,Completed
188,DCP-ZDR-2023-01493,Completed
189,DCP-ZDR-2023-01496,Completed
190,DCP-ZDR-2023-01507,Applicant Revisions
191,DCP-ZDR-2023-01520,Completed
192,DCP-ZDR-2023-01526,Completed
193,DCP-ZDR-2023-01528,Completed
194,DCP-ZDR-2023-01531,Completed
195,DCP-ZDR-2023-01543,Completed
196,DCP-ZDR-2023-01545,Completed
197,DCP-ZDR-2023-01548,Completed
198,DCP-ZDR-2023-01553,Completed
199,DCP-ZDR-2023-01559,Completed
200,DCP-ZDR-2023-01564,Withdrawn
201,DCP-ZDR-2023-01569,Completed
202,DCP-ZDR-2023-01588,Cancelled
203,DCP-ZDR-2023-01590,Applicant Revisions
204,DCP-ZDR-2023-01592,Completed
205,DCP-ZDR-2023-01595,Completed
206,DCP-ZDR-2023-01603,Applicant Revisions
207,DCP-ZDR-2023-01608,Completed
208,DCP-ZDR-2023-01612,Completed
209,DCP-ZDR-2023-01621,Withdrawn
210,DCP-ZDR-2023-01625,Completed
211,DCP-ZDR-2023-01629,Cancelled
212,DCP-ZDR-2023-01631,Cancelled
213,DCP-ZDR-2023-01634,In Review
214,DCP-ZDR-2023-01636,Completed
215,DCP-ZDR-2023-01638,Completed
216,DCP-ZDR-2023-01640,Completed
217,DCP-ZDR-2023-01644,Completed
218,DCP-ZDR-2023-01646,Completed
219,DCP-ZDR-2023-01654,Completed
220,DCP-ZDR-2023-01675,Completed
221,DCP-ZDR-2023-01678,Completed
222,DCP-ZDR-2023-01681,Applicant Revisions
223,DCP-ZDR-2023-01683,Completed
224,DCP-ZDR-2023-01691,Completed
225,DCP-ZDR-2023-01702,Completed
226,DCP-ZDR-2023-01716,Completed
227,DCP-ZDR-2023-01718,Cancelled
228,DCP-ZDR-2023-01724,Completed
229,DCP-ZDR-2023-01729,Completed
230,DCP-ZDR-2023-01732,Completed
231,DCP-ZDR-2023-01736,Completed
232,DCP-ZDR-2023-01738,Applicant Revisions
233,DCP-ZDR-2023-01744,Completed
234,DCP-ZDR-2023-01757,Completed
235,DCP-ZDR-2023-01761,Application Incomplete
236,DCP-ZDR-2023-01772,Completed
237,DCP-ZDR-2023-01779,Completed
238,DCP-ZDR-2023-01785,Completed
239,DCP-ZDR-2023-01799,Completed
240,DCP-ZDR-2023-01813,Application Incomplete
241,DCP-ZDR-2023-01819,Cancelled
242,DCP-ZDR-2023-01824,Applicant Revisions
243,DCP-ZDR-2023-01855,Completed
244,DCP-ZDR-2023-01866,Completed
245,DCP-ZDR-2023-01874,Applicant Revisions
246,DCP-ZDR-2023-01876,Completed
247,DCP-ZDR-2023-01888,Completed
248,DCP-ZDR-2023-01893,Applicant Revisions
249,DCP-ZDR-2023-01899,Completed
250,DCP-ZDR-2023-01903,Completed
251,DCP-ZDR-2023-01910,Completed
252,DCP-ZDR-2023-01931,Completed
253,DCP-ZDR-2023-01939,Completed
254,DCP-ZDR-2023-01948,Completed
255,DCP-ZDR-2023-01953,Completed
256,DCP-ZDR-2023-01960,Completed
257,DCP-ZDR-2023-01975,Completed
258,DCP-ZDR-2023-01991,Completed
259,DCP-ZDR-2023-01997,Completed
260,DCP-ZDR-2023-01999,Completed
261,DCP-ZDR-2023-02003,Completed
262,DCP-ZDR-2023-02018,Completed
263,DCP-ZDR-2023-02029,Applicant Revisions
264,DCP-ZDR-2023-02036,Applicant Revisions
265,DCP-ZDR-2023-02038,Completed
266,DCP-ZDR-2023-02042,Completed
267,DCP-ZDR-2023-02048,Application Incomplete
268,DCP-ZDR-2023-02050,Completed
269,DCP-ZDR-2023-02052,Cancelled
270,DCP-ZDR-2023-02057,Applicant Revisions
271,DCP-ZDR-2023-02059,Completed
272,DCP-ZDR-2023-02061,Completed
273,DCP-ZDR-2023-02071,Applicant Revisions
274,DCP-ZDR-2023-02099,Completed
275,DCP-ZDR-2023-02101,Completed
276,DCP-ZDR-2023-02104,Completed
277,DCP-ZDR-2023-02109,Completed
278,DCP-ZDR-2023-02120,Completed
279,DCP-ZDR-2023-02127,Completed
280,DCP-ZDR-2023-02129,Completed
281,DCP-ZDR-2023-02133,Completed
282,DCP-ZDR-2023-02144,Applicant Revisions
283,DCP-ZDR-2023-02160,Completed
284,DCP-ZDR-2023-02164,Completed
285,DCP-ZDR-2023-02167,Cancelled
286,DCP-ZDR-2023-02175,Completed
287,DCP-ZDR-2023-02184,Completed
288,DCP-ZDR-2023-02192,Completed
289,DCP-ZDR-2023-02195,Completed
290,DCP-ZDR-2023-02206,Completed
291,DCP-ZDR-2023-02218,Completed
292,DCP-ZDR-2023-02222,Completed
293,DCP-ZDR-2023-02227,Completed
294,DCP-ZDR-2023-02235,Completed
295,DCP-ZDR-2023-02240,Cancelled
296,DCP-ZDR-2023-02243,Completed
297,DCP-ZDR-2023-02252,Completed
298,DCP-ZDR-2023-02258,Completed
299,DCP-ZDR-2023-02263,Completed
300,DCP-ZDR-2023-02265,Completed
301,DCP-ZDR-2023-02272,Completed
302,DCP-ZDR-2023-02283,Withdrawn
303,DCP-ZDR-2023-02286,Completed
304,DCP-ZDR-2023-02300,Completed
305,DCP-ZDR-2023-02312,Completed
306,DCP-ZDR-2023-02330,Completed
307,DCP-ZDR-2023-02338,Applicant Revisions
308,DCP-ZDR-2023-02341,Completed
309,DCP-ZDR-2023-02343,Completed
310,DCP-ZDR-2023-02346,Completed
311,DCP-ZDR-2023-02358,Completed
312,DCP-ZDR-2023-02367,Completed
313,DCP-ZDR-2023-02374,Completed
314,DCP-ZDR-2023-02382,Completed
315,DCP-ZDR-2023-02385,Completed
316,DCP-ZDR-2023-02393,Completed
317,DCP-ZDR-2023-02413,Completed
318,DCP-ZDR-2023-02424,Completed
319,DCP-ZDR-2023-02427,Completed
320,DCP-ZDR-2023-02434,Completed
321,DCP-ZDR-2023-02436,Completed
322,DCP-ZDR-2023-02438,Completed
323,DCP-ZDR-2023-02441,Completed
324,DCP-ZDR-2023-02446,Completed
325,DCP-ZDR-2023-02458,Completed
326,DCP-ZDR-2023-02464,Completed
327,DCP-ZDR-2023-02482,Completed
328,DCP-ZDR-2023-02486,Completed
329,DCP-ZDR-2023-02505,Applicant Revisions
330,DCP-ZDR-2023-02513,Completed
331,DCP-ZDR-2023-02517,Completed
332,DCP-ZDR-2023-02523,Completed
333,DCP-ZDR-2023-02526,Completed
334,DCP-ZDR-2023-02531,Completed
335,DCP-ZDR-2023-02539,Completed
336,DCP-ZDR-2023-02554,In Review
337,DCP-ZDR-2023-02569,Completed
338,DCP-ZDR-2023-02580,Completed
339,DCP-ZDR-2023-02588,Completed
340,DCP-ZDR-2023-02591,Completed
341,DCP-ZDR-2023-02593,Completed
342,DCP-ZDR-2023-02601,Applicant Revisions
343,DCP-ZDR-2023-02607,Completed
344,DCP-ZDR-2023-02626,Completed
345,DCP-ZDR-2023-02630,Completed
346,DCP-ZDR-2023-02635,Completed
347,DCP-ZDR-2023-02641,Cancelled
348,DCP-ZDR-2023-02649,Completed
349,DCP-ZDR-2023-02651,Completed
350,DCP-ZDR-2023-02656,Completed
351,DCP-ZDR-2023-02659,Application Incomplete
352,DCP-ZDR-2023-02661,Completed
353,DCP-ZDR-2023-02671,Completed
354,DCP-ZDR-2023-02673,Completed
355,DCP-ZDR-2023-02689,Completed
356,DCP-ZDR-2023-02697,Completed
357,DCP-ZDR-2023-02700,Completed
358,DCP-ZDR-2023-02711,Completed
359,DCP-ZDR-2023-02721,Completed
360,DCP-ZDR-2023-02723,Completed
361,DCP-ZDR-2023-02731,Completed
362,DCP-ZDR-2023-02739,Completed
363,DCP-ZDR-2023-02742,Completed
364,DCP-ZDR-2023-02744,Completed
365,DCP-ZDR-2023-02756,Completed
366,DCP-ZDR-2023-02762,Completed
367,DCP-ZDR-2023-02765,Completed
368,DCP-ZDR-2023-02769,Completed
369,DCP-ZDR-2023-02773,Completed
370,DCP-ZDR-2023-02778,Completed
371,DCP-ZDR-2023-02783,Completed
372,DCP-ZDR-2023-02786,Applicant Revisions
373,DCP-ZDR-2023-02790,Completed
374,DCP-ZDR-2023-02797,Completed
375,DCP-ZDR-2023-02800,Completed
376,DCP-ZDR-2023-02802,Completed
377,DCP-ZDR-2023-02810,In Review
378,DCP-ZDR-2023-02818,Completed
379,DCP-ZDR-2023-02820,Completed
380,DCP-ZDR-2023-02840,Completed
381,DCP-ZDR-2023-02846,Cancelled
382,DCP-ZDR-2023-02851,Completed
383,DCP-ZDR-2023-02870,Completed
384,DCP-ZDR-2023-02878,Completed
385,DCP-ZDR-2023-02884,Completed
386,DCP-ZDR-2023-02894,Completed
387,DCP-ZDR-2023-02899,Completed
388,DCP-ZDR-2023-02902,In Review
389,DCP-ZDR-2023-02910,Completed
390,DCP-ZDR-2023-02914,In Review
391,DCP-ZDR-2023-02922,Cancelled
392,DCP-ZDR-2023-02927,Applicant Revisions
393,DCP-ZDR-2023-02932,Completed
394,DCP-ZDR-2023-02942,Completed
395,DCP-ZDR-2023-02955,Completed
396,DCP-ZDR-2023-02957,Completed
397,DCP-ZDR-2023-02963,Completed
398,DCP-ZDR-2023-02978,Applicant Revisions
399,DCP-ZDR-2023-02980,Completed
400,DCP-ZDR-2023-02984,Completed
401,DCP-ZDR-2023-02998,In Review
402,DCP-ZDR-2023-03001,Completed
403,DCP-ZDR-2023-03006,Completed
404,DCP-ZDR-2023-03018,Withdrawn
405,DCP-ZDR-2023-03024,Completed
406,DCP-ZDR-2023-03035,Cancelled
407,DCP-ZDR-2023-03044,Completed
408,DCP-ZDR-2023-03054,In Review
409,DCP-ZDR-2023-03059,In Review
410,DCP-ZDR-2023-03062,Completed
411,DCP-ZDR-2023-03069,Completed
412,DCP-ZDR-2023-03071,Completed
413,DCP-ZDR-2023-03075,Applicant Revisions
414,DCP-ZDR-2023-03083,Completed
415,DCP-ZDR-2023-03095,Completed
416,DCP-ZDR-2023-03108,Completed
417,DCP-ZDR-2023-03113,In Review
418,DCP-ZDR-2023-03115,Completed
419,DCP-ZDR-2023-03119,Completed
420,DCP-ZDR-2023-03132,Completed
421,DCP-ZDR-2023-03140,Completed
422,DCP-ZDR-2023-03144,Completed
423,DCP-ZDR-2023-03158,Completed
424,DCP-ZDR-2023-03163,Completed
425,DCP-ZDR-2023-03171,Completed
426,DCP-ZDR-2023-03176,Completed
427,DCP-ZDR-2023-03183,Completed
428,DCP-ZDR-2023-03188,Completed
429,DCP-ZDR-2023-03193,Completed
430,DCP-ZDR-2023-03197,Completed
431,DCP-ZDR-2023-03200,Completed
432,DCP-ZDR-2023-03208,Completed
433,DCP-ZDR-2023-03219,Applicant Revisions
434,DCP-ZDR-2023-03222,Completed
435,DCP-ZDR-2023-03224,Completed
436,DCP-ZDR-2023-03230,Completed
437,DCP-ZDR-2023-03234,Applicant Revisions
438,DCP-ZDR-2023-03258,Completed
439,DCP-ZDR-2023-03260,In Review
440,DCP-ZDR-2023-03264,Completed
441,DCP-ZDR-2023-03271,Completed
442,DCP-ZDR-2023-03275,Completed
443,DCP-ZDR-2023-03282,Completed
444,DCP-ZDR-2023-03290,Completed
445,DCP-ZDR-2023-03305,Completed
446,DCP-ZDR-2023-03325,Applicant Revisions
447,DCP-ZDR-2023-03333,Completed
448,DCP-ZDR-2023-03336,Completed
449,DCP-ZDR-2023-03339,Application Incomplete
450,DCP-ZDR-2023-03344,Completed
451,DCP-ZDR-2023-03346,Completed
452,DCP-ZDR-2023-03350,Cancelled
453,DCP-ZDR-2023-03354,Completed
454,DCP-ZDR-2023-03361,Applicant Revisions
455,DCP-ZDR-2023-03363,Completed
456,DCP-ZDR-2023-03365,Completed
457,DCP-ZDR-2023-03373,Applicant Revisions
458,DCP-ZDR-2023-03377,Completed
459,DCP-ZDR-2023-03391,Completed
460,DCP-ZDR-2023-03393,Completed
461,DCP-ZDR-2023-03400,Completed
462,DCP-ZDR-2023-03403,Completed
463,DCP-ZDR-2023-03417,Completed
464,DCP-ZDR-2023-03420,Completed
465,DCP-ZDR-2023-03447,Completed
466,DCP-ZDR-2023-03458,Completed
467,DCP-ZDR-2023-03461,Completed
468,DCP-ZDR-2023-03477,Completed
469,DCP-ZDR-2023-03482,Completed
470,DCP-ZDR-2023-03485,Completed
471,DCP-ZDR-2023-03488,In Review
472,DCP-ZDR-2023-03492,Completed
473,DCP-ZDR-2023-03504,Completed
474,DCP-ZDR-2023-03508,Completed
475,DCP-ZDR-2023-03513,Completed
476,DCP-ZDR-2023-03516,Completed
477,DCP-ZDR-2023-03524,Completed
478,DCP-ZDR-2023-03540,Completed
479,DCP-ZDR-2023-03542,Completed
480,DCP-ZDR-2023-03544,Completed
481,DCP-ZDR-2023-03556,Completed
482,DCP-ZDR-2023-03568,Completed
483,DCP-ZDR-2023-03579,In Review
484,DCP-ZDR-2023-03587,Completed
485,DCP-ZDR-2023-03594,Completed
486,DCP-ZDR-2023-03605,Applicant Revisions
487,DCP-ZDR-2023-03617,Cancelled
488,DCP-ZDR-2023-03625,Application Incomplete
489,DCP-ZDR-2023-03630,Completed
490,DCP-ZDR-2023-03642,Applicant Revisions
491,DCP-ZDR-2023-03646,Completed
492,DCP-ZDR-2023-03652,Applicant Revisions
493,DCP-ZDR-2023-03654,Completed
494,DCP-ZDR-2023-03665,Completed
495,DCP-ZDR-2023-03675,Completed
496,DCP-ZDR-2023-03677,Completed
497,DCP-ZDR-2023-03695,Completed
498,DCP-ZDR-2023-03698,Completed
499,DCP-ZDR-2023-03705,Completed
500,DCP-ZDR-2023-03709,Completed
501,DCP-ZDR-2023-03737,Cancelled
502,DCP-ZDR-2023-03746,Cancelled
503,DCP-ZDR-2023-03751,Completed
504,DCP-ZDR-2023-03759,Applicant Revisions
505,DCP-ZDR-2023-03763,Completed
506,DCP-ZDR-2023-03769,Completed
507,DCP-ZDR-2023-03771,Completed
508,DCP-ZDR-2023-03804,Completed
